Facies,Sample,Area,Comment,Mineral,Texture,Ta2O5,Nb2O5,SnO2,TiO2,Al2O3,FeO,MnO,CaO,MgO,Total_mol
SAPN,BU04,Ore2,BU04-Rut2.2,Rutile,rim,3.951993003016786,4.4084757238076335,1.2274913611748972,79.04774341187589,0.37903796500848974,10.858962354289416,0.12629618082689523,0.0,0.0,100.00000000000001
SAPN,BU04,Ore2,BU04-Rut2.3,Rutile,core,2.3375442590853863,4.748365004148216,1.2557453057848893,82.39103894884926,0.3585461891539088,8.878785096142298,0.02997519683603701,0.0,0.0,99.99999999999999
SAPN,BU04,Ore2,BU04-Ore2_coltan1 ,,rim,5.59441827282574,10.716564598832335,1.328764814037447,61.67520308506547,3.041448543582405,13.247483195005033,4.317738869422281,0.07837862122930433,0.0,100.00000000000001
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.3,Rutile,core,2.878096307021905,0.5612298349943354,0.7664276248420451,89.33799280655323,1.4785727521220946,4.809841059752527,0.16783961471387704,0.0,0.0,100.00000000000001
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.4,Rutile,core,2.512586706316838,0.7036812603671996,0.7528328628062757,89.99698083469376,0.9726329929967341,4.783598886859794,0.1727536815387004,0.0,0.10493277442069515,99.99999999999999
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.1,Rutile,core,1.2562393349165195,0.6566358497859641,1.570744468512638,92.78334065912453,0.21260077301193683,3.5195987503193824,0.000840164329013392,0.0,0.0,100.0
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.2,Rutile,rim,0.9205273444639065,0.6342156425023519,1.4693823986830958,93.73959717792265,0.21280068922329728,3.023476747204703,0.0,0.0,0.0,100.0
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.1,Rutile,patchy,3.111332337710728,2.1617076596051645,0.4628668433507432,85.61132274804348,0.2380674460034178,8.393583779883123,0.021119185403358307,0.0,0.0,100.0
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.2,Rutile,core,1.5961710409128589,2.769205376669225,0.7089534853093834,88.3240050638317,0.26287220572651815,6.330889350818053,0.007903476732237149,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.3,Rutile,rim,2.769424942647835,2.575691864521147,0.5489152233571368,78.96601366375918,7.35983122361476,7.684452151071134,0.09567093102879227,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.4,Rutile,core,1.3755954931270207,2.8755711443790366,0.9184359040259591,88.56690536512431,0.28761804322056006,5.8922238525064765,0.08365019761663958,0.0,0.0,100.0
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.5,Rutile,rim,2.197963107202452,2.8268624204539305,0.755791361199652,87.32246247894155,0.233368767003276,6.649559240748896,0.013992624450249198,0.0,0.0,100.0
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.6,Rutile,patchy,2.0915668655545123,2.6198774263027262,0.3599326615385692,87.9262575965914,0.17034454565152116,6.814218809757853,0.017802094603415017,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.1,Rutile,rim,5.281965131703779,2.6683741332607003,0.552942041101445,80.8205928022679,0.26221720783720065,10.379552004030728,0.03435667979823671,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.2,Rutile,core,0.5228110794234054,3.707022166747257,0.7341050943315588,89.69090280805688,0.24984157393115597,5.066943945582883,0.028373331926853776,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.3,Rutile,core,1.1614422623732268,5.188661110883689,0.8236117379581243,85.2228297547208,0.2611069022726255,7.299332794016898,0.04301543777464232,0.0,0.0,100.00000000000003
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.4,Rutile,patchy,3.072859224305823,2.376271081276115,0.5038235214584447,85.45303429045195,0.2468573157072012,8.312669568256975,0.03448499854348079,0.0,0.0,100.0
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.5,Rutile,rim,3.1116802146630413,2.3307641015457214,0.5569060273620835,85.1487950650312,0.3597164811266324,8.460927071825168,0.031211038446179687,0.0,0.0,100.0
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.1,Rutile,core,1.2976976548288737,4.283117657725688,0.8105982294179405,86.84898323728495,0.24508393574633816,6.398191534171616,0.11632775082458119,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.2,Rutile,core,0.9852185303654875,3.4860696054729052,0.8332886765777521,87.51515082793804,0.3745795887013247,6.761246118402562,0.04444665254192128,0.0,0.0,100.0
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.3,Rutile,rim,1.4596498137439016,4.373487200564349,0.9394488440611809,86.47775259908043,0.21433058960224413,6.498325993184678,0.03700495976321406,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore3b,BU19TS(2)-ore3b.1,Rutile,core,0.7685196401761564,4.3323471308733525,0.7223142172800696,88.26399878374502,0.21437006429932798,5.65707000583311,0.04138015779296543,0.0,0.0,100.00000000000001
PAPN,BU19TS(2),Ore3b,BU19TS(2)-ore3b.2,Rutile,rim,0.7120504947589636,4.4006513770331015,0.7391916914103618,88.19315829597224,0.24652228878380358,5.692063982497827,0.016361869543715036,0.0,0.0,100.00000000000001
