Facies,Sample,Area,Comment,Mineral,Texture,Al,Ta,Ti,Mn,Mg,Fe,Sn,Ca,Nb,Total
Albitized,BU24,Ore3,BU24-coltan3.4 ,CGM,core,0,13.02,0.2906,3.5,0,10.43,0.0572,,44.87,72.1679
Albitized,BU24,Ore3,BU24-coltan3.5 ,CGM,core,0,13.22,0.2954,4.42,0,9.47,0.0546,,44.92,72.38
Albitized,BU24,Ore3,BU24-coltan3.6 ,CGM,rim,0,27.59,0.3442,2.47,0,10.2,0.0503,,33.8,74.4545
Albitized,BU24,Ore4,BU24-Ore4.1,CGM,rim,0,18.03391194,0.213477285,3.058105263,,10.37201875,0.03491766,0,41.69298996,73.45380255
Albitized,BU24,Ore4,BU24-Ore4.2,CGM,core,0,10.35990686,0.508838599,4.19781579,,9.937774998,0.151445201,0,46.56246503,71.70013269
Albitized,BU24,Ore4,BU24-Ore4.3,CGM,core,0,7.315884843,0.329238492,2.85281579,,11.48254375,0.069510505,0.016412903,49.20891887,71.1671491
Albitized,BU24,Ore4,BU24-Ore4.4,CGM,rim,0,14.99841659,0.165754159,3.773078947,,9.845231248,0.023386712,0.039185806,43.61355932,72.44434794
Albitized,BU24,Ore4,BU24-Ore4.5,CGM,core,0,9.387866215,0.487388729,3.235078947,,10.79914375,0.146085747,0.01812258,47.03882672,71.06236757
Albitized,BU24,Ore4,BU24-Ore4.6,CGM,rim,0,14.63176969,0.185274677,2.810342105,,10.9771125,0.036216922,0.002803871,44.25626954,72.8797162
Albitized,BU24,Ore4,BU24-Ore4.7,CGM,core,0,10.07,0.5266,2.69,,11.39,0.143,0.0106,45.95,70.7802
