Facies,Sample,Area,Comment,Mineral,Texture,Ta2O5,Nb2O5,SnO2,TiO2,Al2O3,FeO,MnO,CaO,MgO,Total_ox
SAPN,BU04,Ore2,BU04-Rut2.2,Rutile,rim,16.900000003296864,11.339999999828335,1.790000000190442,61.1199999965304,0.37400000058197425,7.550000000643251,0.08669999984414727,0.0,0.0,99.16070000091541
SAPN,BU04,Ore2,BU04-Rut2.3,Rutile,core,10.589999999963368,12.940000000114445,1.9399999998730388,67.4900000018182,0.3747999997384895,6.540000000514601,0.021800000441862526,0.0,0.0,99.896600002464
SAPN,BU04,Ore2,BU04-Ore2_coltan1 ,,rim,19.28053641680794,22.216407267962165,1.5616235407715118,38.432452426883344,2.4185941914459925,7.423105662994682,2.3887950656987145,0.0342805855263369,0.0,93.75579515809069
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.3,Rutile,core,13.46999999879115,1.5799999993705591,1.223199999862882,75.59999999933277,1.5967000005506082,3.6599999994854002,0.12610000058351162,0.0,0.0,97.25599999797689
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.4,Rutile,core,12.050000000183159,2.030000000658052,1.2312000004722958,78.04000000607179,1.076299999385148,3.7300000003859504,0.1330000002672868,0.0,0.045899999404664195,98.33640000682836
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.1,Rutile,core,6.5200000001953695,2.0500000001430547,2.7800000003808836,87.07000000311929,0.254600000818543,2.9699999996140503,0.0006999995936465907,0.0,0.0,101.64530000386483
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.2,Rutile,rim,4.849999999450523,2.0099999997425013,2.6400000005078454,89.3000000021685,0.25869999980235553,2.5899999998713503,0.0,0.0,0.0,101.64870000154308
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.1,Rutile,patchy,14.500000004273708,6.059999999885556,0.7355999998552643,72.14000000290245,0.2560000002872081,6.3599999994854,0.015800000604558835,0.0,0.0,100.06740000729414
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.2,Rutile,core,7.800000000488423,8.140000000686664,1.1813999996940234,78.04000000607179,0.29639999926081717,5.03000000038595,0.006200000090128593,0.0,0.0,100.49400000667781
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.3,Rutile,rim,12.280000003956234,6.870000000486386,0.8299999994286743,63.310000002852405,7.5300000004912775,5.540000000514601,0.06809999957376149,0.0,0.0,96.42810000730334
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.4,Rutile,core,6.719999999706945,8.449999999856944,1.5300000000634806,78.2299999923769,0.32419999923738707,4.679999999742701,0.0656000002871719,0.0,0.0,99.99979999127154
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.5,Rutile,rim,10.47000000001221,8.10000000028611,1.2276999996502218,75.20999999934945,0.25649999928764844,5.15000000064325,0.010700000613726647,0.0,0.0,100.42489999984262
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.6,Rutile,patchy,10.100000000366318,7.61000000002861,0.5927000003167684,76.76999999928273,0.1897999992283173,5.35000000064325,0.013799999367550365,0.0,0.0,100.62629999923354
