Facies,Mineral,Al,Ta,Ti,Mn,Mg,Fe,Sn,Ca,Nb,Total,Ta2O5,Nb2O5,SnO2,TiO2,Al2O3,FeO,MnO,CaO,MgO,Total_ox,Ta,Nb,Sn,Ti,Al,Fe,Mn,Ca,Mg,Sum
Albitized,CGM,0.010322222222222224,15.125430896555555,0.3684095522777777,3.493179824555556,0.0,10.180212499777777,0.0749812637222222,0.012446451428571427,42.89516830222223,72.14355089166666,18.469057708736628,61.36358846297167,0.09519715979302372,0.6145348347016096,0.019504114616782354,13.096844550708783,4.510535528917087,0.006781116470031028,6.449010605598783e-06,98.17604992592622,1.2643873106694927,6.781897927233544,0.009278620250474273,0.11367259603732699,0.005742062568560384,2.6936945532598937,0.9343222714616695,0.0017522366244903417,2.317467909078285e-06,11.804749895573364
PAPN,CGM,0.05177333333333334,29.897333333333336,1.2815733333333335,4.665333333333333,0.0,7.624666666666668,0.5613466666666665,0.023646666666666663,29.456666666666667,73.56240000000001,36.506435978390066,42.13916957007548,0.712692820488037,2.1377606842402623,0.09782709630609156,9.80913454276952,6.024067700814271,0.033086595064467206,0.0,97.46017498814821,2.6636723601508785,5.083756286736939,0.07631369924876993,0.4312226260601681,0.03214154374346326,2.1948324420729155,1.3636656707931574,0.009645303681310696,0.0,11.855249932487604
PAPN,Rutile,0.3070667727608696,6.202896731000001,46.79280251391305,0.02139499600000001,0.002017498543478261,3.5106538036739146,0.9589111031739129,0.0,5.558603389413044,63.35434680739131,7.574108696120609,7.95184782616066,1.2174456522142787,78.05391304411937,0.5802108695199262,4.5164565218138035,0.027626086959699318,0.0,0.0033456521580869313,99.92495434906647,0.3680953657342501,0.632013780625712,0.08470768869429011,10.236590611397153,0.12247634606965788,0.6683378095443391,0.004203141067985584,0.0,0.0008750642003952327,12.117299807333781
SAPN,CGM,0.04193000000000001,16.712,1.16946,6.069000000000001,0.0,7.178999999999999,0.40421000000000007,0.02854,40.58999999999999,72.19418,20.40635367939799,58.06593502940014,0.5131901231018314,1.9507472141989148,0.07922785503697691,9.235784324894079,7.836539056067835,0.03993338411925123,0.0,98.12771066621703,1.3767220220338658,6.458784686435322,0.05076680768362518,0.36373924578462236,0.022213737776186897,1.9058307257894245,1.6327027927026307,0.010366996734201654,0.0,11.82112701493988
SAPN,Rutile,0.198144857,11.256613682000001,38.550420450000004,0.0420138595,0.0,5.4760974515,1.468951985,0.0,8.4862596245,65.478501905,13.745000001630116,12.13999999997139,1.8650000000317404,64.3049999991743,0.3744000001602319,7.045000000578925,0.05425000014300489,0.0,0.0,99.5286500016897,0.7059796349144636,1.0290758326863052,0.1395222854121574,9.070894397967079,0.08286987155974149,1.1084657532133293,0.008757403686662562,0.0,0.0,12.145565179439739
Albitized,CGM,0.0358050531359103,7.939552739907449,0.13492762072920406,0.9394213255889584,0.0,0.8336193586839428,0.04294791855270628,0.013959234118506,6.249992381227785,1.3886341216496956,9.694669774221204,8.94091282440548,0.054527220031742825,0.22506941687272977,0.06765460432728732,1.0724514007328898,1.2130189336102968,0.014520326484403287,8.31863761603514e-06,1.1715929742316642,0.7646553756518694,0.760090819890796,0.005257965226662587,0.0421127945585602,0.020050264599714904,0.23317945089245506,0.2320061181886299,0.0037759569016950273,2.9898307513367367e-06,0.033611924690086746
PAPN,CGM,0.1812619117924852,4.2438114046332505,0.29096394098303824,0.6027184448890909,0.0,0.2332952349849149,0.17764601988491716,0.03230114696474562,3.5713996189302644,1.376226697999178,5.181948089493114,5.109057852594954,0.22554163136313066,0.48534973176081203,0.342499224212266,0.3001343466145923,0.7782545119765742,0.04519600943362203,0.0,1.5900982566843422,0.4276398375164037,0.4847463128715365,0.025095706621542466,0.10377840028363336,0.11279170475123597,0.07721205365104507,0.1674703667709948,0.013512558416578887,0.0,0.10293322899781111
PAPN,Rutile,0.5992298924310576,3.5264395748463095,4.506479031209774,0.031348072418570364,0.01034977781568298,0.9889390192288574,0.3591180083152485,0.0,2.396401952748552,0.9472995654204074,4.305994087681884,3.428167531229985,0.4559407607317652,7.517145875855775,1.1322608884176273,1.2722701618707353,0.04047790308791721,0.0,0.017163212631153564,1.6264322348206512,0.22395590537936239,0.27693992976173076,0.030369876757297402,0.5686571691559912,0.24649792554860586,0.2104486427649874,0.006282981144184061,0.0,0.004469555948070912,0.08227474152484579
SAPN,CGM,0.085946586125725,5.065918365793993,0.9524489734947017,0.9290311560377774,0.0,0.52473167746319,0.18716762807707962,0.03335876363283134,4.364004277419229,1.0188455512654166,6.185789964298116,6.242916699695721,0.23763038542726383,1.5887565044648002,0.16239837029554002,0.6750673633500361,1.1996027250937373,0.04667583468441354,0.0,0.7411362628401343,0.4389555424537616,0.5469359885508625,0.023820251570483283,0.30097160686755403,0.04442670407013217,0.16550923045660912,0.2237142430184752,0.011661773242472674,0.0,0.03364992942416125
SAPN,Rutile,0.00029937911165943626,3.654074344562596,2.7002800719800617,0.03554041789534192,0.0,0.5551323632355908,0.08354203010311036,0.0,0.7908654666860933,0.6697601799339201,4.461843791644252,1.131370850100786,0.10606601695354426,4.504270199897349,0.0005656848285154254,0.7141778490893819,0.04589122967635842,0.0,0.0,0.5203598813702012,0.2524155608822747,0.060032863606377156,0.003061354415799908,0.31871897099402435,0.002771330233764461,0.15084512906408923,0.007601783215166254,0.0,0.0,0.031820614379091755
